Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
LUG803;LUG803_3;210;39,260555556E;48,541944444N
LUG806;LUG806_1;100;39,376111111E;48,560555556N
LUG806;LUG806_2;240;39,376111111E;48,560555556N
LUG806;LUG806_3;350;39,376111111E;48,560555556N
LUG807;LUG807_1;30;39,341666667E;48,535833333N
LUG807;LUG807_2;130;39,341666667E;48,535833333N
LUG807;LUG807_3;290;39,341666667E;48,535833333N
LUG808;LUG808_1;90;39,288888889E;48,575555556N
LUG808;LUG808_2;190;39,288888889E;48,575555556N
LUG808;LUG808_3;322;39,288888889E;48,575555556N
LUG811;LUG811_3;240;39,395277778E;48,565555556N
LUG811;LUG811_1;0;39,395277778E;48,565555556N
LUG811;LUG811_2;120;39,395277778E;48,565555556N
LUG812;LUG812_1;48;39,358005556E;48,505005556N
LUG812;LUG812_2;160;39,358005556E;48,505005556N
LUG812;LUG812_3;270;39,358005556E;48,505005556N
LUG813;LUG813_1;70;39,302613889E;48,567572222N
LUG813;LUG813_2;215;39,302613889E;48,567572222N
LUG813;LUG813_3;300;39,302613889E;48,567572222N
LUG815;LUG815_1;90;39,346388889E;48,566388889N
LUG815;LUG815_2;210;39,346388889E;48,566388889N
LUG815;LUG815_3;330;39,346388889E;48,566388889N
LUG817;LUG817_1;90;39,332261111E;48,580222222N
LUG817;LUG817_2;210;39,332261111E;48,580222222N
LUG817;LUG817_3;330;39,332261111E;48,580222222N
LUG818;LUG818_1;45;39,292747222E;48,541663889N
LUG818;LUG818_2;110;39,292747222E;48,541663889N
LUG818;LUG818_3;290;39,292747222E;48,541663889N
LUG819;LUG819_1;85;39,293055556E;48,52N
LUG819;LUG819_2;187;39,293055556E;48,52N
LUG819;LUG819_3;300;39,293055556E;48,52N
LUG821;LUG821_2;215;39,401666667E;48,578055556N
LUG821;LUG821_3;335;39,401666667E;48,578055556N
LUG821;LUG821_1;95;39,401666667E;48,578055556N
LUG823;LUG823_1;90;39,301666667E;48,585555556N
LUG823;LUG823_2;210;39,301666667E;48,585555556N
LUG823;LUG823_3;330;39,301666667E;48,585555556N
LUG825;LUG825_1;90;39,388888889E;48,5725N
LUG825;LUG825_2;210;39,388888889E;48,5725N
LUG825;LUG825_3;300;39,388888889E;48,5725N
LUG829;LUG829_1;90;38,791061111E;48,469413889N
LUG829;LUG829_2;210;38,791061111E;48,469413889N
LUG829;LUG829_3;330;38,791061111E;48,469413889N
LUG831;LUG831_1;80;38,838055556E;48,465833333N
LUG831;LUG831_2;275;38,838055556E;48,465833333N
LUG831;LUG831_3;343;38,838055556E;48,465833333N
LUG835;LUG835_1;40;38,645441667E;48,635636111N
